time	V(ph1)	I(L)
Step Information: Freq=60K  (Run: 1/3)
6.133460677644129e-005	0.000000e+000	8.775154e+000
6.150127344310696e-005	0.000000e+000	7.690176e+000
6.166794010977264e-005	0.000000e+000	6.533261e+000
6.183460677643832e-005	0.000000e+000	5.326346e+000
6.216794010976967e-005	0.000000e+000	2.849153e+000
6.233460677643535e-005	0.000000e+000	1.620631e+000
6.250127344310102e-005	0.000000e+000	4.249969e-001
6.266794010976670e-005	0.000000e+000	-7.197812e-001
6.283460677643238e-005	0.000000e+000	-1.797349e+000
6.300127344309806e-005	0.000000e+000	-2.793160e+000
6.316794010976373e-005	0.000000e+000	-3.694633e+000
6.333460677642941e-005	0.000000e+000	-4.491271e+000
6.350127344309509e-005	0.000000e+000	-5.174736e+000
6.366794010976076e-005	0.000000e+000	-5.738895e+000
6.383460677642644e-005	0.000000e+000	-6.179821e+000
6.400127344309212e-005	0.000000e+000	-6.495759e+000
6.416794010975779e-005	0.000000e+000	-6.687060e+000
6.433460677642347e-005	0.000000e+000	-6.756083e+000
6.450127344308915e-005	0.000000e+000	-6.707069e+000
6.466794010975482e-005	0.000000e+000	-6.545989e+000
6.483460677642050e-005	0.000000e+000	-6.280370e+000
6.500127344308618e-005	0.000000e+000	-5.919109e+000
6.516794010975185e-005	0.000000e+000	-5.472264e+000
6.533460677641753e-005	0.000000e+000	-4.950841e+000
6.550127344308321e-005	0.000000e+000	-4.366574e+000
6.566794010974889e-005	0.000000e+000	-3.731705e+000
6.583460677641456e-005	0.000000e+000	-3.058759e+000
6.600127344308024e-005	0.000000e+000	-2.360329e+000
6.633460677641159e-005	0.000000e+000	-9.365082e-001
6.650640910978167e-005	0.000000e+000	-2.079483e-001
6.654351844338768e-005	0.000000e+000	-5.388027e-002
6.659636611044267e-005	0.000000e+000	1.638561e-001
6.665169877751592e-005	0.000000e+000	3.886409e-001
6.666650099999838e-005	0.000000e+000	4.482027e-001
6.666650109999825e-005	0.000000e+000	4.482031e-001
6.666650129999799e-005	0.000000e+000	4.481018e-001
6.666650169999747e-005	0.000000e+000	4.476807e-001
6.666650199999707e-005	0.000000e+000	4.474414e-001
6.666666575978406e-005	0.000000e+000	3.645498e-001
6.666666666660034e-005	0.000000e+000	3.640907e-001
Step Information: Freq=120K  (Run: 2/3)
0.000000000000000e+000	0.000000e+000	9.442469e-001
9.999986949615902e-014	0.000000e+000	9.441965e-001
2.999996084884771e-013	1.666667e-001	9.441432e-001
6.999990864731132e-013	7.857143e-001	9.441386e-001
9.999986949615902e-013	1.000000e+000	9.440994e-001
1.079998937503213e-012	1.000000e+000	9.440781e-001
1.239999422586458e-012	1.000000e+000	9.440860e-001
1.559998658029471e-012	1.000000e+000	9.441900e-001
1.999999124646656e-012	1.000000e+000	9.442514e-001
8.333333328947035e-011	1.000000e+000	9.438535e-001
8.343333315896651e-011	1.000000e+000	9.438530e-001
8.363333289795882e-011	1.000000e+000	9.438524e-001
8.403333237594346e-011	1.000000e+000	9.438521e-001
